,File_name,class,Age_Factor
73,TESS Toronto emotional speech set data/OAF_angry/OAF_keep_angry.wav,0,young
74,TESS Toronto emotional speech set data/OAF_angry/OAF_keg_angry.wav,0,young
75,TESS Toronto emotional speech set data/OAF_angry/OAF_kick_angry.wav,0,young
76,TESS Toronto emotional speech set data/OAF_angry/OAF_kill_angry.wav,0,young
77,TESS Toronto emotional speech set data/OAF_angry/OAF_king_angry.wav,0,young
78,TESS Toronto emotional speech set data/OAF_angry/OAF_kite_angry.wav,0,young
79,TESS Toronto emotional speech set data/OAF_angry/OAF_knock_angry.wav,0,young
80,TESS Toronto emotional speech set data/OAF_angry/OAF_late_angry.wav,0,young
81,TESS Toronto emotional speech set data/OAF_angry/OAF_laud_angry.wav,0,young
82,TESS Toronto emotional speech set data/OAF_angry/OAF_lean_angry.wav,0,young
83,TESS Toronto emotional speech set data/OAF_angry/OAF_learn_angry.wav,0,young
84,TESS Toronto emotional speech set data/OAF_angry/OAF_lease_angry.wav,0,young
85,TESS Toronto emotional speech set data/OAF_angry/OAF_lid_angry.wav,0,young
86,TESS Toronto emotional speech set data/OAF_angry/OAF_life_angry.wav,0,young
87,TESS Toronto emotional speech set data/OAF_angry/OAF_limb_angry.wav,0,young
88,TESS Toronto emotional speech set data/OAF_angry/OAF_live_angry.wav,0,young
89,TESS Toronto emotional speech set data/OAF_angry/OAF_loaf_angry.wav,0,young
90,TESS Toronto emotional speech set data/OAF_angry/OAF_long_angry.wav,0,young
91,TESS Toronto emotional speech set data/OAF_angry/OAF_lore_angry.wav,0,young
92,TESS Toronto emotional speech set data/OAF_angry/OAF_lose_angry.wav,0,young
93,TESS Toronto emotional speech set data/OAF_angry/OAF_lot_angry.wav,0,young
94,TESS Toronto emotional speech set data/OAF_angry/OAF_love_angry.wav,0,young
95,TESS Toronto emotional speech set data/OAF_angry/OAF_luck_angry.wav,0,young
96,TESS Toronto emotional speech set data/OAF_angry/OAF_make_angry.wav,0,young
97,TESS Toronto emotional speech set data/OAF_angry/OAF_match_angry.wav,0,young
98,TESS Toronto emotional speech set data/OAF_angry/OAF_merge_angry.wav,0,young
99,TESS Toronto emotional speech set data/OAF_angry/OAF_mess_angry.wav,0,young
100,TESS Toronto emotional speech set data/OAF_angry/OAF_met_angry.wav,0,young
101,TESS Toronto emotional speech set data/OAF_angry/OAF_mill_angry.wav,0,young
102,TESS Toronto emotional speech set data/OAF_angry/OAF_mob_angry.wav,0,young
103,TESS Toronto emotional speech set data/OAF_angry/OAF_mode_angry.wav,0,young
104,TESS Toronto emotional speech set data/OAF_angry/OAF_mood_angry.wav,0,young
105,TESS Toronto emotional speech set data/OAF_angry/OAF_moon_angry.wav,0,young
106,TESS Toronto emotional speech set data/OAF_angry/OAF_mop_angry.wav,0,young
107,TESS Toronto emotional speech set data/OAF_angry/OAF_mouse_angry.wav,0,young
108,TESS Toronto emotional speech set data/OAF_angry/OAF_nag_angry.wav,0,young
109,TESS Toronto emotional speech set data/OAF_angry/OAF_name_angry.wav,0,young
110,TESS Toronto emotional speech set data/OAF_angry/OAF_near_angry.wav,0,young
111,TESS Toronto emotional speech set data/OAF_angry/OAF_neat_angry.wav,0,young
112,TESS Toronto emotional speech set data/OAF_angry/OAF_nice_angry.wav,0,young
113,TESS Toronto emotional speech set data/OAF_angry/OAF_note_angry.wav,0,young
114,TESS Toronto emotional speech set data/OAF_angry/OAF_numb_angry.wav,0,young
115,TESS Toronto emotional speech set data/OAF_angry/OAF_pad_angry.wav,0,young
116,TESS Toronto emotional speech set data/OAF_angry/OAF_page_angry.wav,0,young
117,TESS Toronto emotional speech set data/OAF_angry/OAF_pain_angry.wav,0,young
118,TESS Toronto emotional speech set data/OAF_angry/OAF_pass_angry.wav,0,young
119,TESS Toronto emotional speech set data/OAF_angry/OAF_pearl_angry.wav,0,young
120,TESS Toronto emotional speech set data/OAF_angry/OAF_peg_angry.wav,0,young
121,TESS Toronto emotional speech set data/OAF_angry/OAF_perch_angry.wav,0,young
122,TESS Toronto emotional speech set data/OAF_angry/OAF_phone_angry.wav,0,young
123,TESS Toronto emotional speech set data/OAF_angry/OAF_pick_angry.wav,0,young
124,TESS Toronto emotional speech set data/OAF_angry/OAF_pike_angry.wav,0,young
125,TESS Toronto emotional speech set data/OAF_angry/OAF_pole_angry.wav,0,young
126,TESS Toronto emotional speech set data/OAF_angry/OAF_pool_angry.wav,0,young
127,TESS Toronto emotional speech set data/OAF_angry/OAF_puff_angry.wav,0,young
128,TESS Toronto emotional speech set data/OAF_angry/OAF_rag_angry.wav,0,young
129,TESS Toronto emotional speech set data/OAF_angry/OAF_raid_angry.wav,0,young
130,TESS Toronto emotional speech set data/OAF_angry/OAF_rain_angry.wav,0,young
131,TESS Toronto emotional speech set data/OAF_angry/OAF_raise_angry.wav,0,young
132,TESS Toronto emotional speech set data/OAF_angry/OAF_rat_angry.wav,0,young
133,TESS Toronto emotional speech set data/OAF_angry/OAF_reach_angry.wav,0,young
134,TESS Toronto emotional speech set data/OAF_angry/OAF_read_angry.wav,0,young
135,TESS Toronto emotional speech set data/OAF_angry/OAF_red_angry.wav,0,young
136,TESS Toronto emotional speech set data/OAF_angry/OAF_ring_angry.wav,0,young
137,TESS Toronto emotional speech set data/OAF_angry/OAF_ripe_angry.wav,0,young
138,TESS Toronto emotional speech set data/OAF_angry/OAF_road_angry.wav,0,young
139,TESS Toronto emotional speech set data/OAF_angry/OAF_room_angry.wav,0,young
140,TESS Toronto emotional speech set data/OAF_angry/OAF_rose_angry.wav,0,young
141,TESS Toronto emotional speech set data/OAF_angry/OAF_rot_angry.wav,0,young
142,TESS Toronto emotional speech set data/OAF_angry/OAF_rough_angry.wav,0,young
143,TESS Toronto emotional speech set data/OAF_angry/OAF_rush_angry.wav,0,young
144,TESS Toronto emotional speech set data/OAF_angry/OAF_said_angry.wav,0,young
145,TESS Toronto emotional speech set data/OAF_angry/OAF_sail_angry.wav,0,young
146,TESS Toronto emotional speech set data/OAF_angry/OAF_search_angry.wav,0,young
147,TESS Toronto emotional speech set data/OAF_angry/OAF_seize_angry.wav,0,young
148,TESS Toronto emotional speech set data/OAF_angry/OAF_sell_angry.wav,0,young
149,TESS Toronto emotional speech set data/OAF_angry/OAF_shack_angry.wav,0,young
150,TESS Toronto emotional speech set data/OAF_angry/OAF_shall_angry.wav,0,young
151,TESS Toronto emotional speech set data/OAF_angry/OAF_shawl_angry.wav,0,young
152,TESS Toronto emotional speech set data/OAF_angry/OAF_sheep_angry.wav,0,young
153,TESS Toronto emotional speech set data/OAF_angry/OAF_shirt_angry.wav,0,young
154,TESS Toronto emotional speech set data/OAF_angry/OAF_should_angry.wav,0,young
155,TESS Toronto emotional speech set data/OAF_angry/OAF_shout_angry.wav,0,young
156,TESS Toronto emotional speech set data/OAF_angry/OAF_size_angry.wav,0,young
157,TESS Toronto emotional speech set data/OAF_angry/OAF_soap_angry.wav,0,young
158,TESS Toronto emotional speech set data/OAF_angry/OAF_soup_angry.wav,0,young
159,TESS Toronto emotional speech set data/OAF_angry/OAF_sour_angry.wav,0,young
160,TESS Toronto emotional speech set data/OAF_angry/OAF_south_angry.wav,0,young
161,TESS Toronto emotional speech set data/OAF_angry/OAF_sub_angry.wav,0,young
162,TESS Toronto emotional speech set data/OAF_angry/OAF_such_angry.wav,0,young
163,TESS Toronto emotional speech set data/OAF_angry/OAF_sure_angry.wav,0,young
164,TESS Toronto emotional speech set data/OAF_angry/OAF_take_angry.wav,0,young
165,TESS Toronto emotional speech set data/OAF_angry/OAF_talk_angry.wav,0,young
166,TESS Toronto emotional speech set data/OAF_angry/OAF_tape_angry.wav,0,young
167,TESS Toronto emotional speech set data/OAF_angry/OAF_team_angry.wav,0,young
168,TESS Toronto emotional speech set data/OAF_angry/OAF_tell_angry.wav,0,young
169,TESS Toronto emotional speech set data/OAF_angry/OAF_thin_angry.wav,0,young
170,TESS Toronto emotional speech set data/OAF_angry/OAF_third_angry.wav,0,young
171,TESS Toronto emotional speech set data/OAF_angry/OAF_thought_angry.wav,0,young
172,TESS Toronto emotional speech set data/OAF_angry/OAF_thumb_angry.wav,0,young
173,TESS Toronto emotional speech set data/OAF_angry/OAF_time_angry.wav,0,young
174,TESS Toronto emotional speech set data/OAF_angry/OAF_tip_angry.wav,0,young
175,TESS Toronto emotional speech set data/OAF_angry/OAF_tire_angry.wav,0,young
176,TESS Toronto emotional speech set data/OAF_angry/OAF_ton_angry.wav,0,young
177,TESS Toronto emotional speech set data/OAF_angry/OAF_tool_angry.wav,0,young
178,TESS Toronto emotional speech set data/OAF_angry/OAF_tough_angry.wav,0,young
179,TESS Toronto emotional speech set data/OAF_angry/OAF_turn_angry.wav,0,young
180,TESS Toronto emotional speech set data/OAF_angry/OAF_vine_angry.wav,0,young
181,TESS Toronto emotional speech set data/OAF_angry/OAF_voice_angry.wav,0,young
182,TESS Toronto emotional speech set data/OAF_angry/OAF_void_angry.wav,0,young
183,TESS Toronto emotional speech set data/OAF_angry/OAF_vote_angry.wav,0,young
184,TESS Toronto emotional speech set data/OAF_angry/OAF_wag_angry.wav,0,young
185,TESS Toronto emotional speech set data/OAF_angry/OAF_walk_angry.wav,0,young
186,TESS Toronto emotional speech set data/OAF_angry/OAF_wash_angry.wav,0,young
187,TESS Toronto emotional speech set data/OAF_angry/OAF_week_angry.wav,0,young
188,TESS Toronto emotional speech set data/OAF_angry/OAF_wheat_angry.wav,0,young
189,TESS Toronto emotional speech set data/OAF_angry/OAF_when_angry.wav,0,young
190,TESS Toronto emotional speech set data/OAF_angry/OAF_which_angry.wav,0,young
191,TESS Toronto emotional speech set data/OAF_angry/OAF_whip_angry.wav,0,young
192,TESS Toronto emotional speech set data/OAF_angry/OAF_white_angry.wav,0,young
193,TESS Toronto emotional speech set data/OAF_angry/OAF_wife_angry.wav,0,young
194,TESS Toronto emotional speech set data/OAF_angry/OAF_wire_angry.wav,0,young
195,TESS Toronto emotional speech set data/OAF_angry/OAF_witch_angry.wav,0,young
196,TESS Toronto emotional speech set data/OAF_angry/OAF_yearn_angry.wav,0,young
197,TESS Toronto emotional speech set data/OAF_angry/OAF_yes_angry.wav,0,young
198,TESS Toronto emotional speech set data/OAF_angry/OAF_young_angry.wav,0,young
199,TESS Toronto emotional speech set data/OAF_angry/OAF_youth_angry.wav,0,young
200,TESS Toronto emotional speech set data/OAF_disgust/OAF_back_disgust.wav,1,young
201,TESS Toronto emotional speech set data/OAF_disgust/OAF_bar_disgust.wav,1,young
202,TESS Toronto emotional speech set data/OAF_disgust/OAF_base_disgust.wav,1,young
203,TESS Toronto emotional speech set data/OAF_disgust/OAF_bath_disgust.wav,1,young
204,TESS Toronto emotional speech set data/OAF_disgust/OAF_bean_disgust.wav,1,young
205,TESS Toronto emotional speech set data/OAF_disgust/OAF_beg_disgust.wav,1,young
206,TESS Toronto emotional speech set data/OAF_disgust/OAF_bite_disgust.wav,1,young
207,TESS Toronto emotional speech set data/OAF_disgust/OAF_boat_disgust.wav,1,young
208,TESS Toronto emotional speech set data/OAF_disgust/OAF_bone_disgust.wav,1,young
209,TESS Toronto emotional speech set data/OAF_disgust/OAF_book_disgust.wav,1,young
210,TESS Toronto emotional speech set data/OAF_disgust/OAF_bought_disgust.wav,1,young
211,TESS Toronto emotional speech set data/OAF_disgust/OAF_burn_disgust.wav,1,young
212,TESS Toronto emotional speech set data/OAF_disgust/OAF_cab_disgust.wav,1,young
213,TESS Toronto emotional speech set data/OAF_disgust/OAF_calm_disgust.wav,1,young
214,TESS Toronto emotional speech set data/OAF_disgust/OAF_came_disgust.wav,1,young
215,TESS Toronto emotional speech set data/OAF_disgust/OAF_cause_disgust.wav,1,young
216,TESS Toronto emotional speech set data/OAF_disgust/OAF_chain_disgust.wav,1,young
217,TESS Toronto emotional speech set data/OAF_disgust/OAF_chair_disgust.wav,1,young
218,TESS Toronto emotional speech set data/OAF_disgust/OAF_chalk_disgust.wav,1,young
219,TESS Toronto emotional speech set data/OAF_disgust/OAF_chat_disgust.wav,1,young
220,TESS Toronto emotional speech set data/OAF_disgust/OAF_check_disgust.wav,1,young
221,TESS Toronto emotional speech set data/OAF_disgust/OAF_cheek_disgust.wav,1,young
222,TESS Toronto emotional speech set data/OAF_disgust/OAF_chief_disgust.wav,1,young
223,TESS Toronto emotional speech set data/OAF_disgust/OAF_choice_disgust.wav,1,young
224,TESS Toronto emotional speech set data/OAF_disgust/OAF_cool_disgust.wav,1,young
225,TESS Toronto emotional speech set data/OAF_disgust/OAF_dab_disgust.wav,1,young
226,TESS Toronto emotional speech set data/OAF_disgust/OAF_date_disgust.wav,1,young
227,TESS Toronto emotional speech set data/OAF_disgust/OAF_dead_disgust.wav,1,young
228,TESS Toronto emotional speech set data/OAF_disgust/OAF_death_disgust.wav,1,young
229,TESS Toronto emotional speech set data/OAF_disgust/OAF_deep_disgust.wav,1,young
230,TESS Toronto emotional speech set data/OAF_disgust/OAF_dime_disgust.wav,1,young
231,TESS Toronto emotional speech set data/OAF_disgust/OAF_dip_disgust.wav,1,young
232,TESS Toronto emotional speech set data/OAF_disgust/OAF_ditch_disgust.wav,1,young
233,TESS Toronto emotional speech set data/OAF_disgust/OAF_dodge_disgust.wav,1,young
234,TESS Toronto emotional speech set data/OAF_disgust/OAF_dog_disgust.wav,1,young
235,TESS Toronto emotional speech set data/OAF_disgust/OAF_doll_disgust.wav,1,young
236,TESS Toronto emotional speech set data/OAF_disgust/OAF_door_disgust.wav,1,young
237,TESS Toronto emotional speech set data/OAF_disgust/OAF_fail_disgust.wav,1,young
238,TESS Toronto emotional speech set data/OAF_disgust/OAF_fall_disgust.wav,1,young
239,TESS Toronto emotional speech set data/OAF_disgust/OAF_far_disgust.wav,1,young
240,TESS Toronto emotional speech set data/OAF_disgust/OAF_fat_disgust.wav,1,young
241,TESS Toronto emotional speech set data/OAF_disgust/OAF_fit_disgust.wav,1,young
242,TESS Toronto emotional speech set data/OAF_disgust/OAF_five_disgust.wav,1,young
243,TESS Toronto emotional speech set data/OAF_disgust/OAF_food_disgust.wav,1,young
244,TESS Toronto emotional speech set data/OAF_disgust/OAF_gap_disgust.wav,1,young
245,TESS Toronto emotional speech set data/OAF_disgust/OAF_gas_disgust.wav,1,young
246,TESS Toronto emotional speech set data/OAF_disgust/OAF_gaze_disgust.wav,1,young
247,TESS Toronto emotional speech set data/OAF_disgust/OAF_germ_disgust.wav,1,young
248,TESS Toronto emotional speech set data/OAF_disgust/OAF_get_disgust.wav,1,young
249,TESS Toronto emotional speech set data/OAF_disgust/OAF_gin_disgust.wav,1,young
250,TESS Toronto emotional speech set data/OAF_disgust/OAF_goal_disgust.wav,1,young
251,TESS Toronto emotional speech set data/OAF_disgust/OAF_good_disgust.wav,1,young
252,TESS Toronto emotional speech set data/OAF_disgust/OAF_goose_disgust.wav,1,young
253,TESS Toronto emotional speech set data/OAF_disgust/OAF_gun_disgust.wav,1,young
254,TESS Toronto emotional speech set data/OAF_disgust/OAF_half_disgust.wav,1,young
255,TESS Toronto emotional speech set data/OAF_disgust/OAF_hall_disgust.wav,1,young
256,TESS Toronto emotional speech set data/OAF_disgust/OAF_hash_disgust.wav,1,young
257,TESS Toronto emotional speech set data/OAF_disgust/OAF_hate_disgust.wav,1,young
258,TESS Toronto emotional speech set data/OAF_disgust/OAF_have_disgust.wav,1,young
259,TESS Toronto emotional speech set data/OAF_disgust/OAF_haze_disgust.wav,1,young
260,TESS Toronto emotional speech set data/OAF_disgust/OAF_hire_disgust.wav,1,young
261,TESS Toronto emotional speech set data/OAF_disgust/OAF_hit_disgust.wav,1,young
262,TESS Toronto emotional speech set data/OAF_disgust/OAF_hole_disgust.wav,1,young
263,TESS Toronto emotional speech set data/OAF_disgust/OAF_home_disgust.wav,1,young
264,TESS Toronto emotional speech set data/OAF_disgust/OAF_hurl_disgust.wav,1,young
265,TESS Toronto emotional speech set data/OAF_disgust/OAF_hush_disgust.wav,1,young
266,TESS Toronto emotional speech set data/OAF_disgust/OAF_jail_disgust.wav,1,young
267,TESS Toronto emotional speech set data/OAF_disgust/OAF_jar_disgust.wav,1,young
268,TESS Toronto emotional speech set data/OAF_disgust/OAF_join_disgust.wav,1,young
269,TESS Toronto emotional speech set data/OAF_disgust/OAF_judge_disgust.wav,1,young
270,TESS Toronto emotional speech set data/OAF_disgust/OAF_jug_disgust.wav,1,young
271,TESS Toronto emotional speech set data/OAF_disgust/OAF_juice_disgust.wav,1,young
272,TESS Toronto emotional speech set data/OAF_disgust/OAF_keen_disgust.wav,1,young
273,TESS Toronto emotional speech set data/OAF_disgust/OAF_keep_disgust.wav,1,young
274,TESS Toronto emotional speech set data/OAF_disgust/OAF_keg_disgust.wav,1,young
275,TESS Toronto emotional speech set data/OAF_disgust/OAF_kick_disgust.wav,1,young
276,TESS Toronto emotional speech set data/OAF_disgust/OAF_kill_disgust.wav,1,young
277,TESS Toronto emotional speech set data/OAF_disgust/OAF_king_disgust.wav,1,young
278,TESS Toronto emotional speech set data/OAF_disgust/OAF_kite_disgust.wav,1,young
279,TESS Toronto emotional speech set data/OAF_disgust/OAF_knock_disgust.wav,1,young
280,TESS Toronto emotional speech set data/OAF_disgust/OAF_late_disgust.wav,1,young
281,TESS Toronto emotional speech set data/OAF_disgust/OAF_laud_disgust.wav,1,young
282,TESS Toronto emotional speech set data/OAF_disgust/OAF_lean_disgust.wav,1,young
283,TESS Toronto emotional speech set data/OAF_disgust/OAF_learn_disgust.wav,1,young
284,TESS Toronto emotional speech set data/OAF_disgust/OAF_lease_disgust.wav,1,young
285,TESS Toronto emotional speech set data/OAF_disgust/OAF_lid_disgust.wav,1,young
286,TESS Toronto emotional speech set data/OAF_disgust/OAF_life_disgust.wav,1,young
287,TESS Toronto emotional speech set data/OAF_disgust/OAF_limb_disgust.wav,1,young
288,TESS Toronto emotional speech set data/OAF_disgust/OAF_live_disgust.wav,1,young
289,TESS Toronto emotional speech set data/OAF_disgust/OAF_loaf_disgust.wav,1,young
290,TESS Toronto emotional speech set data/OAF_disgust/OAF_long_disgust.wav,1,young
291,TESS Toronto emotional speech set data/OAF_disgust/OAF_lore_disgust.wav,1,young
292,TESS Toronto emotional speech set data/OAF_disgust/OAF_lose_disgust.wav,1,young
293,TESS Toronto emotional speech set data/OAF_disgust/OAF_lot_disgust.wav,1,young
294,TESS Toronto emotional speech set data/OAF_disgust/OAF_love_disgust.wav,1,young
295,TESS Toronto emotional speech set data/OAF_disgust/OAF_luck_disgust.wav,1,young
296,TESS Toronto emotional speech set data/OAF_disgust/OAF_make_disgust.wav,1,young
297,TESS Toronto emotional speech set data/OAF_disgust/OAF_match_disgust.wav,1,young
298,TESS Toronto emotional speech set data/OAF_disgust/OAF_merge_disgust.wav,1,young
299,TESS Toronto emotional speech set data/OAF_disgust/OAF_mess_disgust.wav,1,young
300,TESS Toronto emotional speech set data/OAF_disgust/OAF_met_disgust.wav,1,young
301,TESS Toronto emotional speech set data/OAF_disgust/OAF_mill_disgust.wav,1,young
302,TESS Toronto emotional speech set data/OAF_disgust/OAF_mob_disgust.wav,1,young
303,TESS Toronto emotional speech set data/OAF_disgust/OAF_mode_disgust.wav,1,young
304,TESS Toronto emotional speech set data/OAF_disgust/OAF_mood_disgust.wav,1,young
305,TESS Toronto emotional speech set data/OAF_disgust/OAF_moon_disgust.wav,1,young
306,TESS Toronto emotional speech set data/OAF_disgust/OAF_mop_disgust.wav,1,young
307,TESS Toronto emotional speech set data/OAF_disgust/OAF_mouse_disgust.wav,1,young
308,TESS Toronto emotional speech set data/OAF_disgust/OAF_nag_disgust.wav,1,young
309,TESS Toronto emotional speech set data/OAF_disgust/OAF_name_disgust.wav,1,young
310,TESS Toronto emotional speech set data/OAF_disgust/OAF_near_disgust.wav,1,young
311,TESS Toronto emotional speech set data/OAF_disgust/OAF_neat_disgust.wav,1,young
312,TESS Toronto emotional speech set data/OAF_disgust/OAF_nice_disgust.wav,1,young
313,TESS Toronto emotional speech set data/OAF_disgust/OAF_note_disgust.wav,1,young
314,TESS Toronto emotional speech set data/OAF_disgust/OAF_numb_disgust.wav,1,young
315,TESS Toronto emotional speech set data/OAF_disgust/OAF_pad_disgust.wav,1,young
316,TESS Toronto emotional speech set data/OAF_disgust/OAF_page_disgust.wav,1,young
317,TESS Toronto emotional speech set data/OAF_disgust/OAF_pain_disgust.wav,1,young
318,TESS Toronto emotional speech set data/OAF_disgust/OAF_pass_disgust.wav,1,young
319,TESS Toronto emotional speech set data/OAF_disgust/OAF_pearl_disgust.wav,1,young
320,TESS Toronto emotional speech set data/OAF_disgust/OAF_peg_disgust.wav,1,young
321,TESS Toronto emotional speech set data/OAF_disgust/OAF_perch_disgust.wav,1,young
322,TESS Toronto emotional speech set data/OAF_disgust/OAF_phone_disgust.wav,1,young
323,TESS Toronto emotional speech set data/OAF_disgust/OAF_pick_disgust.wav,1,young
324,TESS Toronto emotional speech set data/OAF_disgust/OAF_pike_disgust.wav,1,young
325,TESS Toronto emotional speech set data/OAF_disgust/OAF_pole_disgust.wav,1,young
326,TESS Toronto emotional speech set data/OAF_disgust/OAF_pool_disgust.wav,1,young
327,TESS Toronto emotional speech set data/OAF_disgust/OAF_puff_disgust.wav,1,young
328,TESS Toronto emotional speech set data/OAF_disgust/OAF_rag_disgust.wav,1,young
329,TESS Toronto emotional speech set data/OAF_disgust/OAF_raid_disgust.wav,1,young
330,TESS Toronto emotional speech set data/OAF_disgust/OAF_rain_disgust.wav,1,young
331,TESS Toronto emotional speech set data/OAF_disgust/OAF_raise_disgust.wav,1,young
332,TESS Toronto emotional speech set data/OAF_disgust/OAF_rat_disgust.wav,1,young
333,TESS Toronto emotional speech set data/OAF_disgust/OAF_reach_disgust.wav,1,young
334,TESS Toronto emotional speech set data/OAF_disgust/OAF_read_disgust.wav,1,young
